signal_sizes,budgets,budgets_std,accuracy,runtime
449,7600.0,3755.88427226754,1.0,1.0423524856567383
635,8000.0,4082.4829046386303,1.0,0.00014410018920898437
896,7800.0,3919.1835884530847,1.0,0.00016603469848632812
1265,8800.0,4735.680169380811,1.0,0.00019311904907226562
1785,9212.0,5072.076760723035,1.0,0.00022892951965332032
2520,8812.0,4745.478128351943,1.0,0.000257110595703125
3556,9200.0,5062.278801751902,1.0,0.00030727386474609374
5020,8400.0,4409.081537009721,1.0,0.0003766536712646484
7085,8814.0,4747.111121513799,1.0,0.00046219825744628904
10000,8800.0,4735.680169380811,1.0,0.0005795478820800782
