signal_sizes,budgets,budgets_std,accuracy,runtime
449,312711.7333333333,4836.059322888362,1.0,0.29783968925476073
635,484525.0666666666,7421.304308743716,1.0,0.024159908294677734
896,680372.2000000001,9757.168060396189,1.0,0.033759450912475585
1265,1042937.0,14985.981115566039,1.0,0.049363327026367185
1785,1467746.2,20797.332952207766,1.0,0.07098636627197266
2520,2231211.1333333333,32315.373667691798,1.0,0.10046677589416504
3556,3144780.8,45671.20105807448,1.0,0.1424705982208252
5020,4747906.4,65636.69220886771,1.0,0.2129359245300293
7085,6695774.266666667,95157.32501600128,1.0,0.3023248195648193
10000,10076254.0,136656.7913643519,1.0,0.43667917251586913
