signal_sizes,budgets,budgets_std,accuracy,runtime
1000,29249.0,11795.814045668913,1.0,0.0059836387634277345
4500,26849.0,9403.265868835146,1.0,0.017553019523620605
8000,30454.0,6658.375477547057,1.0,0.021442079544067384
11500,26260.0,11629.730865329602,1.0,0.018949437141418456
15000,35942.0,18836.047249887648,0.9,0.021641635894775392
18500,29786.0,10137.968435539737,1.0,0.020046448707580565
22000,26908.0,8763.570961657126,1.0,0.02373635768890381
25500,33554.0,11943.37992362296,1.0,0.029221606254577637
29000,30882.0,6970.83180115544,1.0,0.026629328727722168
32500,32110.0,13046.408701248018,1.0,0.02293872833251953
36000,31691.0,10364.864157334625,1.0,0.029427480697631837
39500,33037.0,8453.622951137577,1.0,0.02822394371032715
43000,29545.0,11072.354085739853,1.0,0.026127958297729494
46500,31220.0,11600.59912245915,1.0,0.025235509872436522
50000,31046.0,8925.087338508234,1.0,0.02293858528137207
