num_atoms,budgets,budgets_std,accuracy,runtime
5000,96373.0,39032.436523998855,1.0,0.04528152942657471
10000,168904.0,75547.98702811346,1.0,0.066222882270813
15000,273853.0,117108.57987782107,1.0,0.16471760272979735
20000,353573.0,161657.18140868348,1.0,0.1998065710067749
25000,432893.0,189778.1799391068,1.0,0.24075279235839844
30000,520549.0,235704.8897859355,1.0,0.2798829317092896
35000,622208.0,264485.46870480425,1.0,0.3668371200561523
40000,687215.0,304202.5428312525,1.0,0.36683895587921145
45000,777626.0,348710.0520547121,1.0,0.48210964202880857
50000,876663.0,401735.2836396126,1.0,0.40129594802856444
55000,953400.0,421716.046078401,1.0,0.548168396949768
60000,1027331.0,445709.7399081604,1.0,0.49494798183441163
65000,1115615.0,483789.0137497957,1.0,0.5025593042373657
70000,1200174.0,513763.2072112599,1.0,0.5215255737304687
75000,1278808.0,549912.4565564959,1.0,0.6040055751800537
80000,1355384.0,590663.4360818351,0.9,0.5588645219802857
85000,1436306.0,632370.331865751,1.0,0.6074500560760498
90000,1520990.0,671655.0972039147,1.0,0.5486051082611084
95000,1607428.0,709490.611266985,1.0,0.6124079465866089
100000,1693705.0,747084.300333637,1.0,0.6583901882171631
