signal_sizes,budgets,budgets_std,accuracy,runtime
1000,22438.0,485.68631852256243,1.0,1.0169851779937744
4500,21856.0,349.45214264617124,1.0,0.002593326568603516
8000,23122.0,507.45955503862575,1.0,0.0027934551239013673
11500,22458.0,265.4264493225948,1.0,0.002199602127075195
15000,22434.0,400.7053780522542,1.0,0.0021942138671875
18500,21608.0,486.32828418672096,1.0,0.0022020339965820312
22000,22078.0,621.606949768099,1.0,0.002593708038330078
25500,22058.0,344.38815310634595,1.0,0.0021943569183349608
29000,22910.0,196.8755952371954,1.0,0.002194833755493164
32500,22750.0,230.9632005320328,1.0,0.0025925636291503906
36000,22050.0,394.87719610025596,1.0,0.002586841583251953
39500,22616.0,583.7574838920697,1.0,0.0026010990142822264
43000,22512.0,451.5076965013996,1.0,0.002397298812866211
46500,22704.0,374.47136072068315,1.0,0.0027935981750488283
50000,22880.0,209.13153755471697,1.0,0.0030051708221435548
