signal_sizes,budgets,budgets_std,accuracy,runtime
1000,54266.0,4525.50160755689,1.0,0.007983684539794922
4500,43008.0,4000.118398247732,1.0,0.021941423416137695
8000,45510.0,3259.780360699168,1.0,0.02612333297729492
11500,43014.0,8878.149627033778,1.0,0.03751230239868164
15000,51038.0,1397.999713876938,1.0,0.03910050392150879
18500,45940.0,2742.2837198218567,1.0,0.033517646789550784
22000,59836.0,5607.54534533605,1.0,0.040312576293945315
25500,44866.0,1744.0151375489836,1.0,0.03450808525085449
29000,56714.0,4565.74778103215,1.0,0.05187373161315918
32500,48826.0,2033.2429269519173,1.0,0.03709230422973633
36000,63944.0,7651.693459620556,1.0,0.039700555801391604
39500,58788.0,4402.042616785984,1.0,0.05545268058776855
43000,53270.0,5834.122384729343,1.0,0.040876245498657225
46500,58120.0,6217.242475567444,1.0,0.04149603843688965
50000,61132.0,5085.274741840405,1.0,0.05646157264709473
