signal_sizes,budgets,budgets_std,accuracy,runtime
1000,25026.0,4119.5685210953825,1.0,0.0017838001251220704
4500,26554.0,6199.660377794899,1.0,0.00238800048828125
8000,24330.0,3029.925411623197,1.0,0.0025990962982177734
11500,23334.0,5040.6877308557805,1.0,0.002393150329589844
15000,43310.0,17772.221695668777,0.8,0.013755893707275391
18500,23322.0,3820.7814907424367,1.0,0.0025932788848876953
22000,15728.0,2268.5226910921565,1.0,0.0021945953369140623
25500,16854.0,1828.3601395786334,1.0,0.0026003360748291016
29000,22156.0,2667.0936991414455,1.0,0.0025934219360351563
32500,19334.0,3738.2269594020104,1.0,0.002393484115600586
36000,20638.0,4247.165078025576,1.0,0.0023931026458740234
39500,21836.0,2548.8469549974943,1.0,0.002394580841064453
43000,21222.0,4582.522798633958,1.0,0.0024004459381103517
46500,18358.0,2635.941425752856,1.0,0.0021831512451171873
50000,19032.0,2997.1044693170106,1.0,0.0025930404663085938
