num_atoms,budgets,budgets_std,accuracy,runtime
100,1981.0,181.71653749727895,1.0,0.0010970354080200196
5357,62059.0,4854.96806374666,1.0,0.028520965576171876
10615,120546.0,9056.406704648372,1.0,0.05026223659515381
15873,177041.0,11308.275858856645,1.0,0.08148612976074218
21131,228512.0,11666.326482659397,1.0,0.06412925720214843
26389,293850.0,19747.4353777902,1.0,0.10123934745788574
31647,349894.0,24329.81702356185,1.0,0.0794908046722412
36905,401384.0,21800.433720456112,1.0,0.1586759090423584
42163,455099.0,25881.017578526542,1.0,0.08117973804473877
47421,519838.0,35694.69651923097,1.0,0.10043468475341796
52678,569449.0,32896.727176118904,1.0,0.09056429862976074
57936,638199.0,43784.44274967994,1.0,0.16446685791015625
63194,683312.0,40402.03434977006,1.0,0.139135479927063
68452,740597.0,44053.64607044461,1.0,0.14133241176605224
73710,818994.0,59543.65351907792,1.0,0.21244590282440184
78968,869366.0,61211.5484234797,1.0,0.1932973861694336
84226,914013.0,55313.14308643109,1.0,0.17892932891845703
89484,970400.0,59117.60597317858,1.0,0.2084587812423706
94742,1028069.0,62996.94947297051,1.0,0.2253976583480835
100000,1085640.0,66834.47013330771,1.0,0.23697283267974853
