num_atoms,budgets,budgets_std,accuracy,runtime
100,3466.0,401.1239210019766,1.0,0.8560098886489869
5357,105358.0,1759.2633685721985,1.0,0.046372723579406736
10615,210225.0,3131.5597551380047,1.0,0.10173499584197998
15873,314075.0,4312.380143261955,1.0,0.18371870517730712
21131,410761.0,5425.40974489485,1.0,0.20346558094024658
26389,508515.0,4938.522704210238,1.0,0.25393061637878417
31647,617145.0,11041.882018025732,1.0,0.3291266441345215
36905,734745.0,10653.458053608696,1.0,0.39136366844177245
42163,836116.0,12021.351521355658,1.0,0.46965742111206055
47421,957019.0,13447.46269375751,1.0,0.6844869375228881
52678,1030908.0,12475.353526052879,1.0,0.6414939403533936
57936,1134399.0,11314.517174851078,1.0,0.6706184625625611
63194,1250698.0,15240.274918780171,1.0,0.7328508615493774
68452,1356468.0,20351.66974967902,1.0,0.7440244674682617
73710,1460439.0,20171.52425822104,1.0,0.7756321668624878
78968,1563695.0,17511.74218917124,1.0,0.8548229217529297
84226,1665979.0,20430.27735739287,1.0,0.899807357788086
89484,1771647.0,20758.486700624395,1.0,0.998636794090271
94742,1886099.0,21770.89435232278,1.0,1.0595125913619996
100000,1986629.0,22869.778330801542,1.0,1.1731729745864867
