signal_sizes,budgets,budgets_std,accuracy,runtime
1000,4695.0,602.3827686778566,1.0,0.017456650733947754
4500,7225.0,427.907700328003,1.0,0.08048861026763916
8000,8361.0,1076.7214124368475,1.0,0.14930365085601807
11500,8946.0,788.0888274807605,1.0,0.17144403457641602
15000,9374.0,788.9765522498118,1.0,0.19448375701904297
18500,9644.0,681.9266822760347,1.0,0.21012721061706544
22000,10006.0,1072.233183593942,1.0,0.20107312202453614
25500,10531.0,1076.851428935301,1.0,0.2202057123184204
29000,10623.0,1307.5477046746707,1.0,0.22511518001556396
32500,10238.0,967.2000827129824,1.0,0.25194354057312013
36000,10239.0,1162.1656508432866,1.0,0.2713793754577637
39500,10631.0,1240.7453405110978,1.0,0.2638156175613403
43000,10384.0,689.1182772209717,1.0,0.2829545021057129
46500,30179.0,57692.9604804607,0.9,0.3818944215774536
50000,10942.0,1410.5020382828236,1.0,0.3036048412322998
