num_atoms,budgets,budgets_std,accuracy,runtime
5000,9000.0,2136.7732682715778,1.0,0.23058068752288818
10000,9008.0,1385.2277791034946,1.0,0.4323543071746826
15000,16462.0,4726.465487020931,0.9,0.6129692792892456
20000,20808.0,4736.819185909464,1.0,0.8129404306411743
25000,20557.0,1685.5803154996797,1.0,1.10135018825531
30000,20469.0,3226.6002231450984,1.0,1.2272385835647583
35000,28684.0,5186.98795063185,1.0,1.3610832452774049
40000,27090.0,4722.787312594121,1.0,1.6165876865386963
45000,32776.0,6843.075624308122,1.0,1.8503085136413575
50000,39190.0,5505.73519159794,1.0,2.019427514076233
55000,40156.0,6904.5118581982315,1.0,2.213007950782776
60000,39979.0,4235.626163862907,1.0,2.5827929258346556
65000,42613.0,8376.190124394265,1.0,2.572330379486084
70000,44470.0,7476.004280362606,1.0,2.876328182220459
75000,46971.0,8041.464356695241,1.0,3.0198376417160033
80000,49093.0,5950.598373273061,1.0,3.3676736116409303
85000,50745.0,4134.941958480192,1.0,4.099558186531067
90000,54399.0,4264.010905239338,1.0,4.07022225856781
95000,56632.0,4845.909202616162,1.0,4.143831777572632
100000,58595.0,5321.720116654013,1.0,5.080878829956054
