signal_sizes,budgets,budgets_std,accuracy,runtime
1000,1640.0,109.6540012949824,1.0,0.014161968231201172
4500,1784.0,85.91158245545242,1.0,0.0644338607788086
8000,1782.0,77.2217585917337,1.0,0.10751748085021973
11500,1754.0,38.53310265213534,1.0,0.13902206420898439
15000,1652.0,35.14541221838207,1.0,0.14142251014709473
18500,1890.0,104.49880382090504,1.0,0.1418088912963867
22000,1542.0,44.4882006828777,1.0,0.1278519630432129
25500,1612.0,38.61605883567094,1.0,0.14201231002807618
29000,1706.0,53.035836940695106,1.0,0.14342288970947265
32500,1744.0,99.0595780326163,1.0,0.14880261421203614
36000,1912.0,127.88745051802385,1.0,0.15757851600646972
39500,1822.0,76.75415298210253,1.0,0.1521932601928711
43000,1702.0,111.87135468921433,1.0,0.15659303665161134
46500,1814.0,78.00512803655923,1.0,0.1699450969696045
50000,1690.0,89.66604708583957,1.0,0.1635742664337158
