signal_sizes,budgets,budgets_std,accuracy,runtime
1000,4780.0,175.6587601003719,1.0,0.014154720306396484
4500,8132.0,1047.9022855209353,1.0,0.07260451316833497
8000,10996.0,994.0607627303272,1.0,0.11988582611083984
11500,13034.0,1069.8732635223669,1.0,0.1388225555419922
15000,14282.0,2093.1610544819528,1.0,0.1531973361968994
18500,11710.0,1776.75884688947,1.0,0.16615581512451172
22000,15142.0,2139.490406615557,1.0,0.15517754554748536
25500,11268.0,2381.8100679945073,1.0,0.1609642505645752
29000,17232.0,3236.6518502922117,1.0,0.1767399787902832
32500,15026.0,1394.812102040988,1.0,0.21283159255981446
36000,12710.0,2038.4680522392298,1.0,0.19888887405395508
39500,21046.0,3304.0661010336944,1.0,0.20226631164550782
43000,22602.0,2949.6079739517927,1.0,0.2010883331298828
46500,12512.0,3097.412339356838,1.0,0.201475191116333
50000,14964.0,1171.4080416319498,1.0,0.21104230880737304
