num_atoms,budgets,budgets_std,accuracy,runtime
100,7618.0,895.0048044563782,1.0,0.0028882980346679687
5357,24510.0,1208.0298009569135,1.0,0.1202817678451538
10615,39354.0,1596.6810576943662,1.0,0.20876379013061525
15873,43133.0,2264.9331336708374,1.0,0.3068860054016113
21131,62679.0,2536.9609575237846,1.0,0.40895130634307864
26389,65602.0,2549.570081405883,1.0,0.5169458389282227
31647,80893.0,3090.6471975947043,1.0,0.6513646841049194
36905,86495.0,4698.053054191704,1.0,0.7579919099807739
42163,99784.0,4962.383741711235,1.0,0.8230234146118164
47421,102809.0,3831.233339278619,1.0,0.9314839601516723
52678,116492.0,7012.64198430235,1.0,0.9951627492904663
57936,126931.0,10346.347224987183,1.0,1.0666630268096924
63194,145524.0,18582.622269206247,1.0,1.1969144344329834
68452,142329.0,11032.901563052214,1.0,1.2512702226638794
73710,166345.0,13434.77831971931,1.0,1.357675814628601
78968,173960.0,9462.092897451388,1.0,1.4588096141815186
84226,180842.0,10111.5711736604,1.0,1.5611407995223998
89484,176057.0,13352.642663532937,1.0,1.6476219177246094
94742,178516.0,16595.078318585904,1.0,1.6950761079788208
100000,187609.0,13540.796095503394,1.0,1.8410157203674316
