signal_sizes,budgets,budgets_std,accuracy,runtime
1000,3204.0,274.2641062917275,1.0,0.017751407623291016
4500,3334.0,399.2853616149733,1.0,0.08855767250061035
8000,2236.0,716.0033519474612,1.0,0.12207350730895997
11500,2086.0,176.7393561151562,1.0,0.15657486915588378
15000,2700.0,149.85326155943352,1.0,0.1673583984375
18500,2640.0,127.18490476467717,1.0,0.2002641201019287
22000,2058.0,350.8321536005501,1.0,0.19387574195861818
25500,2500.0,344.5460781956457,1.0,0.18332343101501464
29000,2188.0,189.217335358048,1.0,0.20606837272644044
32500,2830.0,428.8496239942388,1.0,0.23277649879455567
36000,2486.0,223.08025461703238,1.0,0.22821521759033203
39500,2124.0,305.96208915484937,1.0,0.21901369094848633
43000,2490.0,558.275917445845,1.0,0.24515252113342284
50000,2154.0,284.55719987376875,1.0,0.25252447128295896
