signal_sizes,budgets,budgets_std,accuracy,runtime
10000,13270.0,1912.6421515798506,1.0,0.0005803902943929037
120000,15343.333333333334,3734.1110301094673,1.0,0.0032973289489746094
230000,17993.333333333332,4134.495356370818,1.0,0.00558169682820638
340000,14380.0,1797.040777376951,1.0,0.00755008061726888
450000,17740.0,3947.5815381065913,1.0,0.008510351181030273
560000,18263.333333333332,2353.523756853556,1.0,0.012732664744059244
670000,16523.333333333332,2001.0293647316919,1.0,0.014890034993489584
780000,17500.0,2624.529587479546,1.0,0.017121394475301106
890000,17156.666666666668,2191.611955379639,1.0,0.01818569501241048
1000000,19016.666666666668,2256.0010506958415,1.0,0.021029074986775715
