signal_sizes,budgets,budgets_std,accuracy,runtime
1000,2523.3333333333335,254.92191978169546,1.0,0.00010164578755696614
1444,2576.6666666666665,347.1897762618317,1.0,8.169809977213542e-05
1888,2593.3333333333335,295.9854851296047,1.0,9.091695149739583e-05
2333,2510.0,294.27877939124323,1.0,9.26653544108073e-05
2777,2606.6666666666665,328.0018066797578,1.0,0.00010808308919270833
3222,2613.3333333333335,314.26575213179524,1.0,0.0001239776611328125
3666,2663.3333333333335,342.5503477457595,1.0,0.00035230318705240887
4111,2656.6666666666665,334.17671084932607,1.0,0.00023667017618815103
4555,2663.3333333333335,340.76167407517903,1.0,0.00046634674072265625
5000,2686.6666666666665,308.44892728090457,1.0,0.00041802724202473957
