signal_sizes,budgets,budgets_std,accuracy,runtime
10000,948550.0,5006.597869034642,1.0,1.5133751233418782
120000,10314160.0,108435.95006577233,1.0,0.09416468938191731
230000,17252726.666666668,752841.1663135168,1.0,0.13179167111714682
340000,23433806.666666668,357337.24768793024,1.0,0.174424409866333
450000,29401606.666666668,1126639.592399878,1.0,0.21802369753519693
560000,37067423.333333336,1264794.287756211,1.0,0.2584536075592041
670000,39755043.333333336,878573.056550391,1.0,0.2905757427215576
780000,42066923.333333336,317217.587341116,1.0,0.3186155954996745
890000,46753576.666666664,1348584.9351271326,1.0,0.36486299832661945
1000000,51173156.666666664,539277.2072636429,1.0,0.39012829462687176
