signal_sizes,budgets,budgets_std,accuracy,runtime
99999,121734.0,10562.000946790338,1.0,0.9380109786987305
129154,129066.0,23715.028652734112,1.0,0.2650949478149414
166810,117792.0,8733.011851589346,1.0,0.34635124206542967
215443,109248.0,13188.685150537183,1.0,0.4164105415344238
278255,118380.0,6183.668813900046,0.96,0.5459836959838867
359381,121998.0,4234.682514663879,0.96,0.7774693489074707
464158,118188.0,11669.631356645334,0.96,0.9172812938690186
599484,122772.0,16190.993051693895,1.0,1.2086097717285156
774263,114246.0,5257.5682591859895,0.9199999999999999,1.5619379520416259
999999,129162.0,12361.566890973005,1.0,2.143094873428345
