signal_sizes,budgets,budgets_std,accuracy,runtime
1000,527086.2666666667,4423.414238898375,1.0,0.24171840349833165
2000,1149370.9,5147.591328961537,1.0,0.019312008221944173
3000,1871383.9,6374.519173239656,1.0,0.025736474990844728
4000,2494566.8333333335,10625.570124573187,1.0,0.035024627049763994
5000,3367737.3666666667,9509.711101406932,1.0,0.04434003829956055
6000,4037409.433333333,9311.168654482755,1.0,0.051595679918924976
7000,4709528.7,9556.175253555508,1.0,0.05864940484364828
8000,5374294.666666667,8382.362464656899,1.0,0.0704028844833374
9000,6506078.0,6926.114755041242,1.0,0.07694705327351889
10000,7224965.0,4528.070670826594,1.0,0.08202873865763347
