signal_sizes,budgets,budgets_std,accuracy,runtime
449,211014.13333333333,3906.3546411228745,1.0,0.003920356432596843
588,303455.8333333333,3921.233573620537,1.0,0.004062795639038086
768,395980.0,3108.7115659063643,1.0,0.004934581120808919
1004,514262.0333333333,3016.2314177721105,1.0,0.006096951166788737
1312,737345.4,1360.6034102559056,1.0,0.007727988560994467
1714,962312.2,1057.5127233277149,1.0,0.009698549906412762
2240,1371695.3666666667,1656.5122493426431,1.0,0.012675229708353677
2928,1793148.4,2630.898371279286,1.0,0.017165319124857588
3826,2340265.6666666665,1127.020802331922,1.0,0.02312201658884684
5000,3312599.3333333335,334.9928689124922,1.0,0.029345909754435223
