signal_sizes,budgets,budgets_std,accuracy,runtime
449,208391.26666666666,335.16900546175543,1.0,0.20240445137023927
685,351925.1666666667,406.3181908581281,1.0,0.009680032730102537
1045,589033.9,592.5670341826316,1.0,0.010118452707926433
1593,896275.0,530.0150941246862,1.0,0.016172170639038086
2429,1489037.5333333334,675.3969565291873,1.0,0.022159512837727866
3703,2268204.2666666666,999.1306198668698,1.0,0.03324227333068847
5646,3744457.3666666667,1125.9269805611532,1.0,0.05178907712300619
8606,6143915.2,1257.6356229051403,1.0,0.0788056453069051
13120,9363397.0,1142.2845529901908,1.0,0.11968684196472165
19999,15288994.666666666,336.48113699813183,1.0,0.1803272406260173
