signal_sizes,budgets,budgets_std,accuracy,runtime
1000,92978.1,31577.93819884382,0.8933333333333333,0.020241562525431314
2000,171990.93333333332,60768.8178777753,0.86,0.013764381408691406
3000,282782.5,85368.63459872133,0.7866666666666666,0.012646341323852539
4000,390159.06666666665,120097.70923403252,0.9600000000000001,0.01602081457773844
5000,535321.0,110043.25674115612,0.9533333333333334,0.023603773117065432
6000,613506.6,132024.15427958628,0.98,0.024678921699523928
7000,626535.0666666667,222409.90959651256,0.8933333333333333,0.028015446662902833
8000,659447.2,280193.40014585166,0.9,0.03537625471750895
9000,910203.3,248851.67095322063,0.8333333333333334,0.0378125270207723
10000,867260.1,307448.1350874594,0.86,0.03947922388712565
