signal_sizes,budgets,budgets_std,accuracy,runtime
449,46013.6,6934.334102132663,0.9,0.022615512212117512
685,69579.73333333334,11432.306920691417,0.8800000000000001,0.005501993497212728
1045,106861.06666666667,19239.64235103022,0.9600000000000001,0.0077504237492879244
1593,156620.8,28570.13365317005,0.9266666666666666,0.007669472694396972
2429,221717.33333333334,63060.540184457306,0.8733333333333333,0.015269621213277181
3703,319210.13333333336,87153.97047361385,0.7399999999999999,0.01842673619588216
5646,532512.4,96771.54519402901,0.9533333333333334,0.027523080507914223
8606,852577.9666666667,132001.23549888545,0.9133333333333334,0.05544981161753336
13120,1168821.8666666667,230704.51305638178,0.92,0.07803759574890136
19999,1973530.6666666667,442110.06392174435,0.9666666666666667,0.11568819681803386
