signal_sizes,budgets,budgets_std,accuracy,runtime
449,43964.0,0.0,0.9933333333333334,0.0005536794662475586
685,66386.0,0.0,0.9933333333333334,0.00045324166615804036
1045,99728.0,0.0,0.9866666666666667,0.001146992047627767
1593,148701.0,0.0,0.9933333333333334,0.001620928446451823
2429,219399.0,0.0,1.0,0.002650054295857747
3703,319207.0,0.0,1.0,0.003771837552388509
5646,455974.0,0.0,1.0,0.006526827812194824
8606,636943.0,0.0,1.0,0.009023547172546385
13120,867401.0,0.0,1.0,0.014817714691162106
19999,1149801.0,0.0,1.0,0.021478907267252607
