signal_sizes,budgets,budgets_std,accuracy,runtime
449,9488.04718956217,0.0,0.9733333333333333,0.011316982905069986
685,14208.04718956217,0.0,0.9533333333333334,0.010130906105041504
1045,21408.04718956216,1.0913936421275139e-11,0.9533333333333333,0.013997785250345868
1593,32368.04718956216,1.0913936421275139e-11,0.9733333333333333,0.020140822728474936
2429,49088.04718956216,1.4551915228366852e-11,0.9600000000000001,0.029215010007222496
3703,74568.04718956216,1.4551915228366852e-11,0.9666666666666667,0.0464677890141805
5646,113428.04718956216,1.4551915228366852e-11,0.9533333333333334,0.07315594355265301
8606,172628.04718956223,5.820766091346741e-11,0.9666666666666667,0.11058998107910153
13120,262908.0471895623,1.1641532182693481e-10,0.9533333333333334,0.16679988702138265
19999,400488.04718956206,1.1641532182693481e-10,0.9666666666666667,0.2552568515141805
