signal_sizes,budgets,budgets_std,accuracy,runtime
10000,14872.666666666666,684.1361029849304,1.0,0.16636141935984294
120000,16464.0,1058.6278960155084,1.0,0.0047206958134969074
230000,15954.0,981.0952609767877,1.0,0.007748095194498698
340000,17422.333333333332,778.1718866582017,1.0,0.009582257270812989
450000,14467.333333333334,673.3249064379169,1.0,0.0130572239557902
560000,15757.666666666666,651.8025746315338,1.0,0.016114600499471027
670000,15742.666666666666,801.0090765657657,1.0,0.02457698186238607
780000,15808.333333333334,760.0859722328687,1.0,0.021312848726908366
890000,16281.666666666666,795.943058171784,1.0,0.032909512519836426
1000000,15878.333333333334,779.8943067042031,1.0,0.03796923160552978
