signal_sizes,budgets,budgets_std,accuracy,runtime
1000,99971.33333333333,6.105249714309324,1.0,0.167323899269104
12000,1195940.3333333333,321.56439940230166,1.0,0.00954113006591797
23000,2290771.6666666665,650.1095776582306,1.0,0.01692473888397217
34000,3386947.3333333335,1032.4015081711543,1.0,0.024205374717712405
45000,4481741.666666667,982.22175402201,1.0,0.0319932222366333
56000,5578734.666666667,1134.920235408965,1.0,0.0399979035059611
67000,6671935.666666667,1514.1334656667,1.0,0.04718076388041179
78000,7770477.333333333,1623.0178292532937,1.0,0.0549090305964152
89000,8867024.333333334,1512.8710515171206,1.0,0.061836536725362136
100000,9963431.666666666,1983.7317853722807,1.0,0.06842049757639566
