signal_sizes,budgets,budgets_std,accuracy,runtime
1000,2547.0,104.23387165408374,1.0,0.00010919570922851562
1444,2597.0,109.13513539542514,1.0,0.00014709631601969402
1888,2596.0,100.774335357107,1.0,0.00011126995086669922
2333,2585.3333333333335,105.31617300441702,1.0,0.00016429424285888672
2777,2625.3333333333335,106.826685527263,1.0,0.00015320777893066407
3222,2591.3333333333335,111.50160271228125,1.0,0.0001941204071044922
3666,2626.3333333333335,108.79693963560774,1.0,0.0003504117329915364
4111,2649.0,111.34665588951371,1.0,0.00023094813028971356
4555,2639.0,115.03173475176318,1.0,0.00020684401194254556
5000,2661.6666666666665,118.28880226268562,1.0,0.00032796065012613925
