signal_sizes,budgets,budgets_std,accuracy,runtime
10000,3682.6666666666665,66.8546239293943,1.0,0.00038724740346272787
24828,3674.6666666666665,57.99757338474187,1.0,0.0011794884999593099
39657,3724.6666666666665,56.42248041602121,1.0,0.001614960034688314
54486,3706.0,57.765041331241164,1.0,0.00223236083984375
69314,3832.6666666666665,48.604831340409255,1.0,0.002342470486958822
84143,3763.6666666666665,53.87946080183335,1.0,0.0025761286417643227
98972,3807.0,47.78458607821843,1.0,0.0025258143742879235
113800,3612.6666666666665,48.21925234070201,1.0,0.003103001912434895
128629,3780.3333333333335,53.43216537158395,1.0,0.0034230470657348627
143458,3698.0,63.5669375977446,1.0,0.0032739718755086258
