signal_sizes,budgets,budgets_std,accuracy,runtime
10000,951230.0,5132.498460247644,1.0,0.011334292093912762
120000,9981823.666666666,132603.8170118319,1.0,0.09390198389689128
230000,17731234.666666668,182659.9713588876,1.0,0.14248619079589844
340000,23838034.666666668,290931.22362614743,1.0,0.18560684521993
450000,29746993.666666668,301824.27750393783,1.0,0.22776616414388018
560000,34721821.333333336,418315.5086390423,1.0,0.2694539546966553
670000,39241348.0,369906.1768942678,1.0,0.3114068031311035
780000,43032157.0,508123.0192581648,1.0,0.34463117122650144
890000,46915539.0,547877.6352964938,1.0,0.3901385307312012
1000000,51049704.333333336,589199.3386050228,1.0,0.41912289460500085
