signal_sizes,budgets,budgets_std,accuracy,runtime
1000,18102.0,4184.4620522435935,0.9933333333333334,0.40102706750233963
2000,23660.0,6338.005995579367,1.0,0.0009782155354817706
3000,25342.666666666668,6755.72395988929,1.0,0.0013306061426798502
4000,26049.0,7618.1053418812735,1.0,0.0016996939977010094
5000,28451.0,9944.945567137778,1.0,0.0020294348398844403
6000,28151.333333333332,10480.558424477624,1.0,0.0018325328826904296
7000,29841.666666666668,11335.620578022576,1.0,0.002131032943725586
8000,30829.333333333332,13111.131386048355,1.0,0.0022027730941772466
9000,31080.666666666668,13108.637593417385,1.0,0.00219571590423584
10000,31419.333333333332,12532.435233779941,1.0,0.0023640791575113935
