signal_sizes,budgets,budgets_std,accuracy,runtime
449,4098.666666666667,802.9061104651169,0.9866666666666667,0.0002582947413126628
588,4286.333333333333,917.007754723057,1.0,0.0002296606699625651
768,4433.0,961.0901796050844,1.0,0.00029700597127278646
1004,4543.666666666667,1045.3148914189553,1.0,0.00025636355082194015
1312,4679.333333333333,1145.0878665946216,1.0,0.0002643187840779622
1714,4738.0,1158.1462198991399,0.9933333333333334,0.00032540957132975263
2240,4835.666666666667,1233.941336621082,1.0,0.000311581293741862
2928,4891.666666666667,1260.5582978276816,0.9933333333333334,0.0003402074178059896
3826,4929.333333333333,1262.7851053216548,1.0,0.0003145774205525716
5000,4980.333333333333,1299.3908401845672,1.0,0.0004637320836385091
