signal_sizes,budgets,budgets_std,accuracy,runtime
1000,98590.66666666667,444.97140981815403,1.0,0.1904102643330892
12000,1170864.3333333333,7360.22584949372,0.9466666666666667,0.006492201487223308
23000,2249667.0,20151.486487767266,0.98,0.012047966321309408
34000,3337094.3333333335,17146.10484110669,0.9533333333333333,0.018041976292928058
45000,4415325.666666667,20387.605169699447,0.9733333333333333,0.023881808916727705
56000,5486317.0,33117.395746042595,0.9600000000000001,0.029727323849995928
67000,6566840.666666667,33093.256003132854,0.9133333333333334,0.035613759358723955
78000,7660568.0,39892.29068379002,0.9466666666666667,0.04208113352457682
89000,8743092.333333334,26577.10878222502,0.9600000000000001,0.0478167454401652
100000,9835903.666666666,17616.197562344594,0.9866666666666667,0.053788773218790685
