signal_sizes,budgets,budgets_std,accuracy,runtime
449,207196.43333333332,310.8111627482013,0.9733333333333333,0.0024020910263061524
685,350236.26666666666,223.67669128056733,0.9533333333333333,0.0034063895543416343
1045,587074.8,248.49941649830893,0.9733333333333333,0.006081549326578776
1593,894139.1,371.37136400104947,0.98,0.007709964116414387
2429,1486299.1,405.35863544931823,0.9666666666666667,0.011483899752298991
3703,2264817.1666666665,472.5657684974184,0.9933333333333334,0.019159595171610512
5646,3740385.8,667.0743786615303,0.9933333333333334,0.027762238184611005
8606,6139113.1,738.5552721360806,0.9866666666666667,0.04238382975260417
13120,9357852.6,866.746583494853,0.9933333333333334,0.06614035765329997
19999,15283294.666666666,1162.2857747654928,1.0,0.10119813283284507
