signal_sizes,budgets,budgets_std,accuracy,runtime
449,48138.0,12882.0,1.0,0.0011098146438598634
685,40592.0,32019.729917661705,1.0,0.001936793327331543
1045,91700.0,45624.123618980346,1.0,0.0023687601089477537
1593,154812.0,60648.0,1.0,0.003648130098978678
2429,235904.0,92416.0,1.0,0.0051106770833333325
3703,324275.0,161338.74249231027,1.0,0.008200820287068686
5646,547953.0,214662.0,1.0,0.014227024714152017
8606,998644.0,0.0,1.0,0.022619231541951494
13120,1272931.0,498674.0,1.0,0.032287693023681646
19999,1940194.0,760076.0,1.0,0.04602435429890951
