signal_sizes,budgets,budgets_std,accuracy,runtime
449,51166.4,3239.298294384141,1.0,0.0017252683639526368
588,68319.6,709.1999999999999,1.0,0.0016684929529825847
768,89050.5,1156.5,1.0,0.00228426456451416
1004,115301.5,3407.47135717969,1.0,0.002475229899088542
1312,152540.0,0.0,1.0,0.003154079119364421
1714,199000.3,515.1,1.0,0.0051075458526611325
2240,255552.46666666667,15090.27693082168,1.0,0.006720391909281413
2928,339996.0,0.0,1.0,0.008139832814534505
3826,437654.7,16068.11918085001,1.0,0.010533754030863443
5000,579847.7,1500.9,1.0,0.014660247166951496
