signal_sizes,budgets,budgets_std,accuracy,runtime
449,43964.0,0.0,0.9933333333333334,0.21389110883076984
685,66386.0,0.0,0.9733333333333333,0.00034353733062744143
1045,99728.0,0.0,1.0,0.0009329557418823241
1593,148701.0,0.0,1.0,0.001350251833597819
2429,219399.0,0.0,0.9933333333333334,0.0024328152338663734
3703,319207.0,0.0,1.0,0.0033807833989461266
5646,455974.0,0.0,1.0,0.005703433354695638
8606,636943.0,0.0,0.9866666666666667,0.0075465043385823565
13120,867401.0,0.0,1.0,0.011707297960917155
19999,1149801.0,0.0,1.0,0.01873354911804199
