signal_sizes,budgets,budgets_std,accuracy,runtime
449,20923.4,219.96417890192936,1.0,0.19429244995117187
588,27165.6,235.2,1.0,0.2432012478510539
768,35712.0,384.0,1.0,0.3073875586191813
1004,46585.6,491.8575403508621,1.0,0.4033947467803955
1312,61008.0,656.0,1.0,0.5280531962712607
1714,79529.6,839.6850838260733,1.0,0.6755950768788656
2240,103936.0,1097.3714047668639,1.0,0.888065457344055
2928,136152.0,1464.0,1.0,1.1750805298487346
3826,171787.4,16540.537428995467,0.9600000000000002,1.5262421290079753
5000,232500.0,2500.0,1.0,2.0873565991719567
