signal_sizes,budgets,budgets_std,accuracy,runtime
449,19651.233333333334,3081.1347081878775,0.8466666666666669,0.315964929262797
685,31829.666666666664,3491.63403326039,0.9533333333333334,0.46640086968739825
1045,52041.0,3972.2220341880297,0.9600000000000002,0.6928519010543823
1593,77419.8,2817.804421885948,0.98,1.058465059598287
2429,121207.1,8515.368687849048,0.9533333333333334,1.4772336800893149
3703,181570.4333333333,2371.0769051213847,1.0,2.224645797411601
5646,261974.4,31047.866848464804,0.9600000000000001,4.729064846038819
8606,408785.0,24718.853068053137,1.0,7.084836792945863
13120,635008.0,6427.46108506306,1.0,9.498833529154458
19999,951952.4,51533.818087155145,1.0,13.72764395078023
