signal_sizes,budgets,budgets_std,accuracy,runtime
449,19336.933333333334,389.13333333333355,1.0,0.19231411616007488
685,29728.999999999996,557.4327064518395,1.0,0.27125193277994797
1045,45561.99999999999,806.4499708943847,1.0,0.41591308911641434
1593,68658.3,1840.2042305135592,1.0,0.6203648964564005
2429,105580.53333333334,1922.85179529434,1.0,0.9364545265833536
3703,159228.99999999997,3491.2218809783794,1.0,1.4229663372039796
5646,242589.8,3806.109451920688,1.0,2.3294961770375573
8606,366902.4666666667,4526.679647011337,1.0,3.898121110598246
13120,563285.3333333334,9338.884444443389,1.0,6.060696911811829
19999,863956.8,25680.52962165868,1.0,9.325960191090902
