signal_sizes,budgets,budgets_std,accuracy,runtime
449,9488.04718956217,0.0,1.0,0.015602954228719077
685,14208.04718956217,0.0,1.0,0.015392231941223144
1045,21408.04718956216,1.0913936421275139e-11,1.0,0.037121423085530604
1593,32368.04718956216,1.0913936421275139e-11,1.0,0.030706628163655596
2429,49088.04718956216,1.4551915228366852e-11,1.0,0.038270433743794754
3703,74568.04718956216,1.4551915228366852e-11,1.0,0.06169003645579021
5646,113428.04718956216,1.4551915228366852e-11,1.0,0.11563697655995689
8606,172628.04718956223,5.820766091346741e-11,1.0,0.2378461678822835
13120,262908.0471895623,1.1641532182693481e-10,1.0,0.2202031453450521
19999,400488.04718956206,1.1641532182693481e-10,1.0,0.35524763266245524
