signal_sizes,budgets,budgets_std,accuracy,runtime
1000,20508.047189562163,7.275957614183426e-12,0.9800000000000001,0.1414124965667725
2000,40508.04718956216,1.4551915228366852e-11,0.9733333333333334,0.029709768295288087
3000,60508.04718956216,1.4551915228366852e-11,0.9666666666666668,0.041476750373840326
4000,80508.04718956216,1.4551915228366852e-11,0.9400000000000001,0.05849554538726807
5000,100508.04718956216,1.4551915228366852e-11,0.98,0.0776289939880371
6000,120508.04718956216,1.4551915228366852e-11,0.9866666666666667,0.09477205276489256
7000,140508.04718956217,0.0,0.9866666666666667,0.12664980888366698
8000,160508.0471895622,2.9103830456733704e-11,0.9866666666666667,0.13832825819651287
9000,180508.04718956226,8.731149137020111e-11,0.9866666666666667,0.20928591887156167
10000,200508.04718956226,8.731149137020111e-11,0.9866666666666667,0.43638370037078855
