signal_sizes,budgets,budgets_std,accuracy,runtime
449,9488.04718956217,0.0,1.0,0.009056695302327476
588,12268.04718956217,0.0,1.0,0.009508021672566732
768,15868.04718956217,0.0,1.0,0.011158974965413413
1004,20588.047189562163,7.275957614183426e-12,1.0,0.013892920811971026
1312,26748.04718956216,1.0913936421275139e-11,1.0,0.01697409947713216
1714,34788.04718956216,1.4551915228366852e-11,1.0,0.02140990893046061
2240,45308.04718956216,1.4551915228366852e-11,1.0,0.027756524085998536
2928,59068.04718956216,1.4551915228366852e-11,1.0,0.03780692418416341
3826,77028.04718956216,1.4551915228366852e-11,1.0,0.049531412124633786
5000,100508.04718956216,1.4551915228366852e-11,1.0,0.06649838288625082
