signal_sizes,budgets,budgets_std,accuracy,runtime
449,9488.04718956217,0.0,0.8133333333333334,0.12970520655314127
685,14208.04718956217,0.0,0.7733333333333335,0.01102159818013509
1045,21408.04718956216,1.0913936421275139e-11,0.7600000000000002,0.01366403897603353
1593,32368.04718956216,1.0913936421275139e-11,0.8266666666666668,0.01964872678120931
2429,49088.04718956216,1.4551915228366852e-11,0.8200000000000002,0.02913230260213216
3703,74568.04718956216,1.4551915228366852e-11,0.7933333333333336,0.04552906354268392
5646,113428.04718956216,1.4551915228366852e-11,0.8333333333333336,0.07326019605000814
8606,172628.04718956223,5.820766091346741e-11,0.7933333333333334,0.10836164156595866
13120,262908.0471895623,1.1641532182693481e-10,0.8200000000000002,0.16572444438934325
19999,400488.04718956206,1.1641532182693481e-10,0.8200000000000003,0.2480560620625814
