signal_sizes,budgets,budgets_std,accuracy,runtime
449,11652.833333333334,481.3015051803692,0.2466666666666667,0.04581350485483805
685,17291.5,1020.2714589755022,0.3333333333333333,0.05785655975341797
1045,27782.4,2546.504514034876,0.31333333333333335,0.13690592447916666
1593,41791.0,4666.567689426566,0.2933333333333333,0.3215298891067505
2429,65395.9,7275.421593053332,0.26666666666666666,0.7581291755040487
3703,100407.5,10139.793747902371,0.30666666666666664,1.6089115301767987
5646,144026.0,18774.821948556528,0.17333333333333334,3.9210641145706178
8606,234426.53333333333,31720.087427089828,0.32666666666666655,8.532884136835733
13120,356920.4,45506.41996729692,0.4800000000000001,19.65059349536896
19999,544695.9,69416.88596076607,0.24666666666666667,57.34194907347361
