data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,10101000.0,1.0,0.0,61.85316014289856,100000000
NETFLIX,8196000.0,1.0,0.0,38.06817865371704,100000000
NETFLIX,6792000.0,1.0,0.0,35.91992115974426,100000000
NETFLIX,5488000.0,1.0,0.0,36.79458403587341,100000000
NETFLIX,4483000.0,1.0,0.0,35.60576295852661,100000000
NETFLIX,3679000.0,1.0,0.0,34.48077130317688,100000000
NETFLIX,3075000.0,1.0,0.0,33.80557823181152,100000000
NETFLIX,2470000.0,1.0,0.0,33.727784872055054,100000000
NETFLIX,2066000.0,1.0,0.0,33.392680406570435,100000000
NETFLIX,1662000.0,0.0,0.0,32.118102073669434,100000000
NETFLIX,1357000.0,0.5,0.0030429030972509226,31.2354519367218,100000000
NETFLIX,1153000.0,0.0,0.0,31.100811004638672,100000000
NETFLIX,949000.0,0.0,0.0,30.830538511276245,100000000
NETFLIX,745000.0,0.0,0.0,30.094502925872803,100000000
NETFLIX,640000.0,0.0,0.0,30.109474658966064,100000000
NETFLIX,436000.0,0.0,0.0,30.63854479789734,100000000
NETFLIX,432000.0,0.0,0.0,30.150354862213135,100000000
NETFLIX,327000.0,0.0,0.0,31.24948525428772,100000000
NETFLIX,223000.0,0.0,0.0,28.821908950805664,100000000
NETFLIX,219000.0,0.0,0.0,29.65268564224243,100000000
NETFLIX,114000.0,0.0,0.0,28.612468481063843,100000000
NETFLIX,110000.0,0.0,0.0,29.87808585166931,100000000
NETFLIX,106000.0,0.0,0.0,27.96918535232544,100000000
NETFLIX,102000.0,0.0,0.0,13.338322877883911,100000000
