data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,174029.0,1.0,0.0,0.30052987734476727,10000000
NETFLIX,169349.0,1.0,0.0,0.23405003547668457,10000000
NETFLIX,164663.0,1.0,0.0,0.21210002899169922,10000000
NETFLIX,159957.0,1.0,0.0,0.21042720476786295,10000000
NETFLIX,155229.0,1.0,0.0,0.1944886843363444,10000000
NETFLIX,150488.0,1.0,0.0,0.18449759483337402,10000000
NETFLIX,145665.0,1.0,0.0,0.17918690045674643,10000000
NETFLIX,140768.0,1.0,0.0,0.17620770136515299,10000000
NETFLIX,135948.0,1.0,0.0,0.1698767344156901,10000000
NETFLIX,131042.0,1.0,0.0,0.15925002098083496,10000000
NETFLIX,126133.0,1.0,0.0,0.15259615580240884,10000000
NETFLIX,121158.0,1.0,0.0,0.14957634607950845,10000000
NETFLIX,116134.0,1.0,0.0,0.14893658955891928,10000000
NETFLIX,111115.0,1.0,0.0,0.14262723922729492,10000000
NETFLIX,105976.0,1.0,0.0,0.14262906710306802,10000000
NETFLIX,100950.0,1.0,0.0,0.13397391637166342,10000000
NETFLIX,95759.0,1.0,0.0,0.13530818621317545,10000000
NETFLIX,90540.0,1.0,0.0,0.13596677780151367,10000000
NETFLIX,85227.0,1.0,0.0,0.13530357678731283,10000000
NETFLIX,79937.0,1.0,0.0,0.12565692265828451,10000000
NETFLIX,74601.0,1.0,0.0,0.11069289843241374,10000000
NETFLIX,69092.0,1.0,0.0,0.10838667551676433,10000000
NETFLIX,63429.0,1.0,0.0,0.09772706031799316,10000000
NETFLIX,54908.0,1.0,0.0,0.05420025189717611,10000000
