data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,290000.0,1.0,0.0,9.24908995628357,10000000
NETFLIX,290000.0,1.0,0.0,9.273253202438354,10000000
NETFLIX,290000.0,1.0,0.0,9.247529983520508,10000000
NETFLIX,414000.0,0.6,0.08944271909999159,9.350279808044434,10000000
NETFLIX,368000.0,0.6,0.08944271909999159,9.347338914871216,10000000
NETFLIX,430000.0,1.0,0.0,9.558926820755005,10000000
NETFLIX,449666.6666666667,1.0,0.0,9.529291868209839,10000000
NETFLIX,468333.3333333333,1.0,0.0,9.76882290840149,10000000
NETFLIX,651666.6666666666,1.0,0.0,10.090536832809448,10000000
NETFLIX,969000.0,0.9,0.0547722557505166,10.436681985855103,10000000
NETFLIX,1000000.0,1.0,0.0,10.494919776916504,10000000
NETFLIX,1139000.0,1.0,0.0,10.897040128707886,10000000
NETFLIX,1270333.3333333333,1.0,0.0,11.416810035705566,10000000
NETFLIX,1320333.3333333333,1.0,0.0,11.973492860794067,10000000
NETFLIX,1618666.6666666667,1.0,0.0,13.345791101455688,10000000
NETFLIX,1670333.3333333333,1.0,0.0,14.2467520236969,10000000
NETFLIX,1952333.3333333333,1.0,0.0,15.096061944961548,10000000
NETFLIX,2353000.0,1.0,0.0,17.24756669998169,10000000
NETFLIX,2783666.6666666665,1.0,0.0,19.60584783554077,10000000
NETFLIX,3139333.3333333335,1.0,0.0,22.578953981399536,10000000
NETFLIX,3545666.6666666665,1.0,0.0,25.253779888153076,10000000
NETFLIX,4351000.0,1.0,0.0,28.711582899093628,10000000
NETFLIX,5118666.666666667,1.0,0.0,33.074361085891724,10000000
NETFLIX,6161000.0,1.0,0.0,39.998881101608276,10000000
