data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,1101000.0,0.3,0.0,5.257487694422404,10000000
NETFLIX,906000.0,0.3,0.0,4.741719086964925,10000000
NETFLIX,762000.0,0.3,0.0,3.9161354700724282,10000000
NETFLIX,628000.0,0.3,0.0,2.4050634702046714,10000000
NETFLIX,523000.0,0.3,0.0,2.945044755935669,10000000
NETFLIX,439000.0,0.3,0.0,2.6058955987294516,10000000
NETFLIX,375000.0,0.3,0.0,2.0592337449391684,10000000
NETFLIX,310000.0,0.3,0.0,1.7067724068959553,10000000
NETFLIX,266000.0,0.3,0.0,1.5969439347585042,10000000
NETFLIX,222000.0,0.3,0.0,1.4765616257985432,10000000
NETFLIX,187000.0,0.3,0.0,1.6589497725168865,10000000
NETFLIX,163000.0,0.0,0.0,1.6856315930684407,10000000
NETFLIX,139000.0,0.0,0.0,2.0466836293538413,10000000
NETFLIX,115000.0,0.0,0.0,1.3920869827270508,10000000
NETFLIX,100000.0,0.0,0.0,1.0297285715738933,10000000
NETFLIX,76000.0,0.0,0.0,0.8509480158487955,10000000
NETFLIX,72000.0,0.0,0.0,0.8895165125528971,10000000
NETFLIX,57000.0,0.0,0.0,0.6862382094065348,10000000
NETFLIX,43000.0,0.0,0.0,0.6927839914957682,10000000
NETFLIX,39000.0,0.0,0.0,0.6649196942647299,10000000
NETFLIX,24000.0,0.0,0.0,0.6846980253855387,10000000
NETFLIX,20000.0,0.0,0.0,0.6678828398386637,10000000
NETFLIX,16000.0,0.0,0.0,0.639901320139567,10000000
NETFLIX,12000.0,0.0,0.0,0.42579372723897296,10000000
