data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,1167484.6666666667,1.0,0.0,0.828718900680542,100000
NETFLIX,905233.0,1.0,0.0,0.36105990409851074,100000
NETFLIX,832201.3333333334,1.0,0.0,0.2962920665740967,100000
NETFLIX,654179.6666666666,1.0,0.0,0.2715132236480713,100000
NETFLIX,515805.0,0.0,0.0,0.26355791091918945,100000
NETFLIX,428734.0,1.0,0.0,0.18790793418884277,100000
NETFLIX,337467.0,1.0,0.0,0.23915600776672363,100000
NETFLIX,281066.0,1.0,0.0,0.2089982032775879,100000
NETFLIX,193186.66666666666,1.0,0.0,0.10983490943908691,100000
NETFLIX,206729.0,0.3333333333333333,0.2721655269759087,0.07496905326843262,100000
NETFLIX,198662.33333333334,1.0,0.0,0.06836795806884766,100000
NETFLIX,119790.33333333333,1.0,0.0,0.04890298843383789,100000
NETFLIX,141531.33333333334,1.0,0.0,0.04710507392883301,100000
NETFLIX,125317.33333333333,1.0,0.0,0.04446601867675781,100000
NETFLIX,103839.0,1.0,0.0,0.0462031364440918,100000
NETFLIX,140435.66666666666,0.0,0.0,0.035317182540893555,100000
NETFLIX,101374.33333333333,1.0,0.0,0.035768747329711914,100000
NETFLIX,117834.0,1.0,0.0,0.03152298927307129,100000
NETFLIX,123684.33333333333,1.0,0.0,0.0230710506439209,100000
NETFLIX,126411.0,1.0,0.0,0.09985494613647461,100000
NETFLIX,86195.66666666667,0.0,0.0,0.026233196258544922,100000
NETFLIX,92124.66666666667,1.0,0.0,0.02050495147705078,100000
NETFLIX,81928.33333333333,0.0,0.0,0.023433923721313477,100000
NETFLIX,100346.0,1.0,0.0,0.022845029830932617,100000
