data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,4760.0,1.0,0.0,0.0029039382934570312,100000
NETFLIX,4600.0,1.0,0.0,0.0017027854919433594,100000
NETFLIX,4396.666666666667,1.0,0.0,0.0012831687927246094,100000
NETFLIX,4223.333333333333,1.0,0.0,0.0023620128631591797,100000
NETFLIX,4043.3333333333335,1.0,0.0,0.0017778873443603516,100000
NETFLIX,3866.6666666666665,1.0,0.0,0.0013802051544189453,100000
NETFLIX,3726.6666666666665,1.0,0.0,0.0012941360473632812,100000
NETFLIX,3540.0,1.0,0.0,0.0012888908386230469,100000
NETFLIX,3310.0,1.0,0.0,0.0010051727294921875,100000
NETFLIX,3150.0,1.0,0.0,0.0010042190551757812,100000
NETFLIX,2933.3333333333335,1.0,0.0,0.0009510517120361328,100000
NETFLIX,2763.3333333333335,1.0,0.0,0.0009427070617675781,100000
NETFLIX,2583.3333333333335,1.0,0.0,0.0009179115295410156,100000
NETFLIX,2450.0,1.0,0.0,0.0009059906005859375,100000
NETFLIX,2226.6666666666665,1.0,0.0,0.0009748935699462891,100000
NETFLIX,2063.3333333333335,1.0,0.0,0.0009770393371582031,100000
NETFLIX,1863.3333333333333,1.0,0.0,0.0012784004211425781,100000
NETFLIX,1713.3333333333333,1.0,0.0,0.0011858940124511719,100000
NETFLIX,1550.0,1.0,0.0,0.0011341571807861328,100000
NETFLIX,1346.6666666666667,1.0,0.0,0.0011887550354003906,100000
NETFLIX,1240.0,1.0,0.0,0.001306772232055664,100000
NETFLIX,940.0,1.0,0.0,0.0009257793426513672,100000
NETFLIX,783.3333333333334,1.0,0.0,0.0007760524749755859,100000
NETFLIX,300.0,1.0,0.0,0.0007052421569824219,100000
