data_type,budgets,accuracy,accuracy_std,runtime,naive_budget
NETFLIX,100020.0,1.0,0.0,2.385115146636963,100000
NETFLIX,100020.0,1.0,0.0,2.405301094055176,100000
NETFLIX,100020.0,1.0,0.0,1.5662519931793213,100000
NETFLIX,100020.0,1.0,0.0,1.5614738464355469,100000
NETFLIX,100020.0,1.0,0.0,2.413472890853882,100000
NETFLIX,100020.0,1.0,0.0,1.5890412330627441,100000
NETFLIX,100020.0,1.0,0.0,2.153733015060425,100000
NETFLIX,100020.0,1.0,0.0,2.057749032974243,100000
NETFLIX,100020.0,1.0,0.0,1.6713237762451172,100000
NETFLIX,100020.0,1.0,0.0,1.52675199508667,100000
NETFLIX,100020.0,1.0,0.0,1.5452210903167725,100000
NETFLIX,100020.0,1.0,0.0,1.9869649410247803,100000
NETFLIX,100020.0,1.0,0.0,1.51035475730896,100000
NETFLIX,100020.0,1.0,0.0,1.4956700801849365,100000
NETFLIX,100020.0,1.0,0.0,1.4929800033569336,100000
NETFLIX,100020.0,1.0,0.0,1.6213209629058838,100000
NETFLIX,100020.0,1.0,0.0,1.6482772827148438,100000
NETFLIX,100020.0,1.0,0.0,1.6943011283874512,100000
NETFLIX,100020.0,1.0,0.0,1.750863790512085,100000
NETFLIX,100020.0,1.0,0.0,1.6786668300628662,100000
NETFLIX,100020.0,1.0,0.0,1.9272921085357666,100000
NETFLIX,100020.0,1.0,0.0,1.929591178894043,100000
NETFLIX,100020.0,1.0,0.0,1.790557861328125,100000
NETFLIX,50011.0,0.4000000000000001,3.2049378106392736e-17,1.9862070083618164,100000
