signal_sizes,budgets,budgets_std,accuracy,runtime
999,41430.0,17847.20146129359,0.2,0.6679519176483154
1576,54138.0,9219.124470360512,0.2,0.0007175445556640625
2483,68646.0,36736.63544746579,0.0,0.0007060050964355468
3914,57636.0,43647.41394401276,0.6,0.0011177539825439453
6170,76734.0,28640.40404742922,0.0,0.0012220382690429688
9724,56688.0,46907.989255562854,0.0,0.001195526123046875
15326,61110.0,27135.705629299562,0.2,0.0023187637329101563
24154,67044.0,40154.2010753545,0.0,0.0024483203887939453
38069,41646.0,13597.66538785243,0.2,0.002901315689086914
59999,81156.0,59770.00036807763,0.4,0.009126234054565429
