signal_sizes,budgets,budgets_std,accuracy,runtime
10,100000.0,0.0,1.0,0.06434438228607178
186,670000.0,11045.36101718726,0.46,0.007126421928405761
363,858000.0,13293.607486307093,0.5,0.009277753829956055
540,982000.0,14335.96874996594,0.46,0.010274591445922852
716,1132000.0,19274.854085050814,0.66,0.012554793357849123
893,1198000.0,19076.687343456673,0.56,0.013151931762695312
1070,1236000.0,22227.910383119684,0.66,0.01347303867340088
1246,1280000.0,21725.560982400428,0.6,0.013692665100097656
1423,1370000.0,24372.11521390788,0.7,0.01454680919647217
1600,1430000.0,24535.688292770592,0.7,0.01544352054595947
