signal_sizes,budgets,budgets_std,accuracy,runtime
10,100000.0,0.0,1.0,0.10330822944641113
464,976000.0,11702.991070662236,0.24,0.010858335494995116
918,1332000.0,20953.28136593407,0.4,0.014842233657836915
1372,1424000.0,16277.591959500645,0.52,0.01576488494873047
1826,1616000.0,17600.0,0.48,0.01707816123962402
2280,1700000.0,14966.629547095765,0.4,0.0180340576171875
2734,1788000.0,16316.862443496913,0.48,0.019316978454589843
3188,1872000.0,13290.59818066892,0.56,0.020307493209838868
3642,1892000.0,14880.860190190619,0.48,0.021350936889648436
4096,2000000.0,12649.110640673516,0.6,0.022227058410644533
