signal_sizes,budgets,budgets_std,accuracy,runtime
10,54158.22,10.292571690301699,1.0,0.042090444564819335
186,1511742.22,25.4403976384018,0.34,0.018070526123046875
363,3294473.6,28.091650004939186,0.08,0.032313809394836426
540,5431647.44,34.82191447924711,0.14,0.04659679412841797
716,7193271.82,34.12183687904272,0.04,0.05995904445648194
893,8964902.94,30.395031304474745,0.04,0.07448227882385254
1070,11809646.5,29.682267433604192,0.08,0.08974059104919432
1246,13747548.58,35.31804173506792,0.1,0.10839031696319582
1423,15696388.6,42.13034061101334,0.08,0.1241488790512085
1600,17645227.6,47.41549113949997,0.1,0.1455317497253418
