signal_sizes,budgets,budgets_std,accuracy,runtime
10,10834.32,1.0051387963858525,0.76,0.13909402847290042
464,843730.32,3.3541472835878863,0.04,0.06040011405944824
918,1849481.76,3.0809245365636597,0.0,0.11916559219360352
1372,3037745.44,4.243047961077037,0.04,0.17672762870788575
1826,4041092.52,5.363020044713613,0.0,0.23864097595214845
2280,5503112.0,5.048564152311031,0.04,0.31280399322509767
2734,6597712.56,6.865351848230359,0.0,0.39430714607238765
3188,7692307.44,5.8397479397658945,0.0,0.4517925453186035
3642,8786902.4,5.178416746458323,0.0,0.5025767230987548
4096,10704998.2,6.078684068118691,0.0,0.6180707931518555
