signal_sizes,budgets,budgets_std,accuracy,runtime
10,87821.78,7762.64570312416,1.0,0.0481929349899292
186,2828709.14,3944.9546746202295,1.0,0.12656345844268796
363,4569811.76,33645.629810215294,0.98,0.1578451871871948
540,6839693.04,39249.23439907545,0.9,0.18516356945037843
716,10752885.98,79681.12889877748,0.8,0.2956806230545044
893,15046078.46,91510.96070126773,1.0,0.2916391944885254
1070,18449802.32,97089.26890816489,0.86,0.3103710842132568
1246,22065404.24,95433.43331730893,0.88,0.3736407709121704
1423,26243014.16,145862.5814107247,0.88,0.40657321453094475
1600,31660854.9,189752.46433254087,0.8,0.42592116832733157
