signal_sizes,budgets,budgets_std,accuracy,runtime
10,37268.08,4680.269372733155,1.0,0.02050783157348633
464,6598468.0,279.05127844179464,1.0,0.13412303924560548
918,11994190.72,41747.53148751269,1.0,0.1711501693725586
1372,13406691.08,137491.95922811975,0.68,0.1691109561920166
1826,17409615.36,280715.2697794568,0.6,0.19575422286987304
2280,30257176.2,396618.93418499123,0.92,0.31950653076171875
2734,38497415.88,332994.0253685009,0.92,0.38269840240478514
3188,42046258.56,291221.4835082334,0.84,0.40028957366943363
3642,47125023.76,548675.6373990163,0.56,0.4239880847930908
4096,54315244.36,646516.4011997441,0.32,0.468785982131958
