signal_sizes,budgets,budgets_std,accuracy,runtime
10,99446.36,3657.6879293630286,0.82,0.014875111579895023
186,1311675.12,54817.61078574395,0.64,0.024215197563171385
363,3204915.6,118312.86358559661,0.92,0.050704035758972164
540,3740553.24,182712.24346532128,0.76,0.06175553798675537
716,5314344.7,299838.5329288179,0.84,0.08405407428741456
893,7276953.6,197772.23526163623,0.84,0.11601236820220948
1070,9182369.18,278715.96923952486,0.92,0.13984624862670897
1246,10410539.9,341902.74333827413,0.92,0.15959338665008546
1423,11068754.6,524016.12249968725,0.76,0.1815965700149536
1600,12057413.34,611390.2543673693,0.78,0.20929920196533205
