signal_sizes,budgets,budgets_std,accuracy,runtime
10,110631.56,5681.75126441276,0.96,0.036962327957153325
464,4154189.16,141499.78578246039,0.72,0.08206217765808105
918,6607401.36,257950.91609076256,0.56,0.13272527694702146
1372,10469910.0,599680.494535215,0.52,0.2006663513183594
1826,12966366.28,668122.3130987188,0.76,0.2924198532104492
2280,18313495.44,666902.2724697826,0.76,0.4085481739044189
2734,21395347.96,597892.1800093752,0.64,0.49607812881469726
3188,25394871.48,691095.5681217795,0.76,0.5868337059020996
3642,27521208.0,1135042.1843415336,0.68,0.6464320755004883
4096,35906748.12,1657886.9752452269,1.0,0.8048498630523682
