signal_sizes,budgets,budgets_std,accuracy,runtime
10,30.8,1.1757550765359255,0.12,0.0015959167480468748
464,1120.4,45.65848880547844,0.12,0.0013164615631103516
918,2394.0,147.2,0.04,0.005265884399414062
1372,3299.6,219.84,0.0,0.013084917068481448
1826,4023.6,146.23999999999998,0.04,0.02393601417541504
2280,5478.8,365.12,0.08,0.03797845840454102
2734,7115.6,268.072157450191,0.12,0.058403816223144535
3188,8296.0,650.6348899344393,0.16,0.0800261402130127
3642,7290.0,460.93359174614295,0.04,0.10543828010559082
4096,10656.8,401.52035863701855,0.12,0.13966636657714843
