signal_sizes,budgets,budgets_std,accuracy,runtime
100,38317.333333333336,25.223445883190152,1.0,1.1347193717956543
129,55445.0,170.04117148502596,1.0,0.001082022984822591
166,70881.0,146.75149062275312,1.0,0.0011023680369059246
215,91451.0,422.06871478469003,1.0,0.0020662943522135415
278,131185.0,260.2204193883844,1.0,0.0016945997873942058
359,169193.33333333334,554.2263877594506,1.0,0.002106904983520508
464,218002.33333333334,536.9396821079833,1.0,0.0025549729665120444
599,311468.3333333333,729.3450638910379,1.0,0.0032313664754231772
774,400892.0,1056.7216599780033,1.0,0.008572022120157877
999,515964.6666666667,1170.1385483019617,1.0,0.0061457157135009766
